,date_time,user_name,text,year_month,year_month_day,hour,weekday,user_class
0,2023-09-07 18:21:00,형목-테이커,안녕하세요🫡,2023-09,2023-09-07,18,Thursday,테이커
1,2023-09-07 18:21:00,월 순수익 2억,어서오세요~😄,2023-09,2023-09-07,18,Thursday,Not defined
2,2023-09-07 18:22:00,쏘니헨리/월천부자,안녕하세요,2023-09,2023-09-07,18,Thursday,Not defined
3,2023-09-07 18:28:00,클레버썬,안녕하세요^^,2023-09,2023-09-07,18,Thursday,Not defined
4,2023-09-07 18:35:00,월 순수익 2억,어서오세요~~^^,2023-09,2023-09-07,18,Thursday,Not defined
5,2023-09-07 19:12:00,정성우,반갑습니디!!!!,2023-09,2023-09-07,19,Thursday,Not defined
6,2023-09-07 19:12:00,새로운도약,안녕하세요 ~,2023-09,2023-09-07,19,Thursday,Not defined
7,2023-09-07 19:14:00,월 순수익 2억,어서오세요~~!,2023-09,2023-09-07,19,Thursday,Not defined
8,2023-09-07 19:22:00,얼동식-노비스,이모티콘,2023-09,2023-09-07,19,Thursday,노비스
9,2023-09-07 19:39:00,허성빈,안녕하세요~ 다들 작심 2주 챌린지 꼭 성공합시다.,2023-09,2023-09-07,19,Thursday,Not defined
10,2023-09-07 19:39:00,허성빈,무조건입니다. 무조건,2023-09,2023-09-07,19,Thursday,Not defined
11,2023-09-07 20:08:00,정성우,무조건 입니다~!!!!,2023-09,2023-09-07,20,Thursday,Not defined
12,2023-09-07 20:09:00,월 순수익 2억,다들 어서오세요~!,2023-09,2023-09-07,20,Thursday,Not defined
13,2023-09-07 20:10:00,글로리 - 운영진,다들 반갑습니다 :),2023-09,2023-09-07,20,Thursday,운영진
14,2023-09-07 20:10:00,용지 - 노비스,안녕하세요!!,2023-09,2023-09-07,20,Thursday,노비스
15,2023-09-07 20:11:00,용지 - 노비스,이모티콘,2023-09,2023-09-07,20,Thursday,노비스
16,2023-09-07 20:12:00,얼동식-노비스,안녕하세영,2023-09,2023-09-07,20,Thursday,노비스
17,2023-09-07 20:12:00,정성우,다들 안녕하세요~~!!,2023-09,2023-09-07,20,Thursday,Not defined
18,2023-09-07 20:15:00,김현아,반갑습니다 ㅎㅎ,2023-09,2023-09-07,20,Thursday,Not defined
19,2023-09-07 20:20:00,설꿍이-노비스,안녕하세요😊👋🏻,2023-09,2023-09-07,20,Thursday,노비스
20,2023-09-07 20:20:00,Young Studio - 노비스,안녕하세요~!,2023-09,2023-09-07,20,Thursday,노비스
21,2023-09-07 23:28:00,슈퍼노멀,모두 반갑습니다 😁,2023-09,2023-09-07,23,Thursday,Not defined
22,2023-09-07 23:28:00,월 순수익 2억,어서오세요~~😄,2023-09,2023-09-07,23,Thursday,Not defined
23,2023-09-07 23:31:00,글로리 - 운영진,반갑습니다 :),2023-09,2023-09-07,23,Thursday,운영진
24,2023-09-07 23:32:00,조희,반갑습니다 ㅎㅎ,2023-09,2023-09-07,23,Thursday,Not defined
25,2023-09-08 0:16:00,정성우,반갑습니다!!!,2023-09,2023-09-08,0,Friday,Not defined
26,2023-09-08 0:18:00,월 순수익 2억,이모티콘,2023-09,2023-09-08,0,Friday,Not defined
27,2023-09-08 6:56:00,호호 부는 튜브,안녕하세요!,2023-09,2023-09-08,6,Friday,Not defined
28,2023-09-08 7:27:00,슈퍼노멀,안녕하세요 😄,2023-09,2023-09-08,7,Friday,Not defined
29,2023-09-08 7:39:00,포토잼이 노비스,반갑습니다~~~오늘하루 화이팅이요^^,2023-09,2023-09-08,7,Friday,노비스
30,2023-09-08 8:41:00,김현아,어느덧 금요일이네요!! 다들 오늘도 홧팅입니다 ㅎㅎ,2023-09,2023-09-08,8,Friday,Not defined
31,2023-09-08 9:22:00,슈퍼노멀,사진,2023-09,2023-09-08,9,Friday,Not defined
32,2023-09-08 9:24:00,슈퍼노멀,출판되자마자 읽었던 신사임당 주언규님의 슈퍼노멀에 있는 글귀인데요. 여기 계신 분들과의 2주 챌린지 동안 동료로 함께 성과 내보아요^^,2023-09,2023-09-08,9,Friday,Not defined
33,2023-09-08 9:26:00,쏘 노비스,좋은글 감사합니다~저도 이책 사놓고 아직 다 못읽었는데 읽어봐야겠어요!,2023-09,2023-09-08,9,Friday,노비스
34,2023-09-08 9:26:00,김현아,오 ㅎㅎ 좋네용 오전부터 좋은 글귀 공유 감사합니다~!!,2023-09,2023-09-08,9,Friday,Not defined
35,2023-09-08 9:28:00,슈퍼노멀,사진 2장,2023-09,2023-09-08,9,Friday,Not defined
